STT,Mã t?nh (BNV),Tên t?nh/TP m?i,Mã t?nh (TMS),Mã Qu?n huy?n TMS (c?) CQT ?ã rà soát,Tên Qu?n huy?n TMS (c?),S? t? t?ng,Mã ph??ng/xã m?i ,Tên Ph??ng/Xã m?i,Tr?ng thái rà soát cu?i,
1,01,Thành ph? Hà N?i,101,10105,Qu?n Hoàn Ki?m,1,10105001,Ph??ng Hoàn Ki?m,,
2,01,Thành ph? Hà N?i,101,10105,Qu?n Hoàn Ki?m,2,10105002,Ph??ng C?a Nam,,
3,01,Thành ph? Hà N?i,101,10101,Qu?n Ba ?ình,3,10101003,Ph??ng Ba ?ình,,
4,01,Thành ph? Hà N?i,101,10101,Qu?n Ba ?ình,4,10101004,Ph??ng Ng?c Hà,,
5,01,Thành ph? Hà N?i,101,10101,Qu?n Ba ?ình,5,10101005,Ph??ng Gi?ng Võ,,
6,01,Thành ph? Hà N?i,101,10107,Qu?n Hai Bà Tr?ng,6,10107006,Ph??ng Hai Bà Tr?ng,,
7,01,Thành ph? Hà N?i,101,10107,Qu?n Hai Bà Tr?ng,7,10107007,Ph??ng V?nh Tuy,,
8,01,Thành ph? Hà N?i,101,10107,Qu?n Hai Bà Tr?ng,8,10107008,Ph??ng B?ch Mai,,
9,01,Thành ph? Hà N?i,101,10109,Qu?n ??ng ?a,9,10109009,Ph??ng ??ng ?a,,
10,01,Thành ph? Hà N?i,101,10109,Qu?n ??ng ?a,10,10109010,Ph??ng Kim Liên,,
11,01,Thành ph? Hà N?i,101,10109,Qu?n ??ng ?a,11,10109011,Ph??ng V?n Mi?u - Qu?c T? Giám,,
12,01,Thành ph? Hà N?i,101,10109,Qu?n ??ng ?a,12,10109012,Ph??ng Láng,,
13,01,Thành ph? Hà N?i,101,10109,Qu?n ??ng ?a,13,10109013,Ph??ng Ô Ch? D?a,,
14,01,Thành ph? Hà N?i,101,10103,Qu?n Tây H?,14,10103014,Ph??ng H?ng Hà,,
15,01,Thành ph? Hà N?i,101,10108,Qu?n Hoàng Mai,15,10108015,Ph??ng L?nh Nam,,
16,01,Thành ph? Hà N?i,101,10108,Qu?n Hoàng Mai,16,10108016,Ph??ng Hoàng Mai,,
17,01,Thành ph? Hà N?i,101,10108,Qu?n Hoàng Mai,17,10108017,Ph??ng V?nh H?ng,,
18,01,Thành ph? Hà N?i,101,10108,Qu?n Hoàng Mai,18,10108018,Ph??ng T??ng Mai,,
19,01,Thành ph? Hà N?i,101,10108,Qu?n Hoàng Mai,19,10108019,Ph??ng ??nh Công,,
20,01,Thành ph? Hà N?i,101,10123,Huy?n Thanh Trì,20,10123020,Ph??ng Hoàng Li?t,,
21,01,Thành ph? Hà N?i,101,10108,Qu?n Hoàng Mai,21,10108021,Ph??ng Yên S?,,
22,01,Thành ph? Hà N?i,101,10111,Qu?n Thanh Xuân,22,10111022,Ph??ng Thanh Xuân,,
23,01,Thành ph? Hà N?i,101,10111,Qu?n Thanh Xuân,23,10111023,Ph??ng Kh??ng ?ình,,
24,01,Thành ph? Hà N?i,101,10111,Qu?n Thanh Xuân,24,10111024,Ph??ng Ph??ng Li?t,,
25,01,Thành ph? Hà N?i,101,10113,Qu?n C?u Gi?y,25,10113025,Ph??ng C?u Gi?y,,
26,01,Thành ph? Hà N?i,101,10113,Qu?n C?u Gi?y,26,10113026,Ph??ng Ngh?a ?ô,,
27,01,Thành ph? Hà N?i,101,10113,Qu?n C?u Gi?y,27,10113027,Ph??ng Yên Hoà,,
28,01,Thành ph? Hà N?i,101,10103,Qu?n Tây H?,28,10103028,Ph??ng Tây H?,,
29,01,Thành ph? Hà N?i,101,10157,Qu?n B?c T? Liêm,29,10157029,Ph??ng Phú Th??ng,,
30,01,Thành ph? Hà N?i,101,10157,Qu?n B?c T? Liêm,30,10157030,Ph??ng Tây T?u,,
31,01,Thành ph? Hà N?i,101,10157,Qu?n B?c T? Liêm,31,10157031,Ph??ng Phú Di?n,,
32,01,Thành ph? Hà N?i,101,10157,Qu?n B?c T? Liêm,32,10157032,Ph??ng Xuân ??nh,,
33,01,Thành ph? Hà N?i,101,10157,Qu?n B?c T? Liêm,33,10157033,Ph??ng ?ông Ng?c,,
34,01,Thành ph? Hà N?i,101,10157,Qu?n B?c T? Liêm,34,10157034,Ph??ng Th??ng Cát,,
35,01,Thành ph? Hà N?i,101,10155,Qu?n Nam T? Liêm,35,10155035,Ph??ng T? Liêm,,
36,01,Thành ph? Hà N?i,101,10155,Qu?n Nam T? Liêm,36,10155036,Ph??ng Xuân Ph??ng,,
37,01,Thành ph? Hà N?i,101,10155,Qu?n Nam T? Liêm,37,10155037,Ph??ng Tây M?,,
38,01,Thành ph? Hà N?i,101,10155,Qu?n Nam T? Liêm,38,10155038,Ph??ng ??i M?,,
39,01,Thành ph? Hà N?i,101,10106,Qu?n Long Biên,39,10106039,Ph??ng Long Biên,,
40,01,Thành ph? Hà N?i,101,10106,Qu?n Long Biên,40,10106040,Ph??ng B? ??,,
41,01,Thành ph? Hà N?i,101,10106,Qu?n Long Biên,41,10106041,Ph??ng Vi?t H?ng,,
42,01,Thành ph? Hà N?i,101,10106,Qu?n Long Biên,42,10106042,Ph??ng Phúc L?i,,
43,01,Thành ph? Hà N?i,101,10127,Qu?n Hà ?ông,43,10127043,Ph??ng Hà ?ông,,
44,01,Thành ph? Hà N?i,101,10127,Qu?n Hà ?ông,44,10127044,Ph??ng D??ng N?i,,
45,01,Thành ph? Hà N?i,101,10127,Qu?n Hà ?ông,45,10127045,Ph??ng Yên Ngh?a,,
46,01,Thành ph? Hà N?i,101,10127,Qu?n Hà ?ông,46,10127046,Ph??ng Phú L??ng,,
47,01,Thành ph? Hà N?i,101,10127,Qu?n Hà ?ông,47,10127047,Ph??ng Ki?n H?ng,,
48,01,Thành ph? Hà N?i,101,10123,Huy?n Thanh Trì,48,10123048,Xã Thanh Trì,,
49,01,Thành ph? Hà N?i,101,10123,Huy?n Thanh Trì,49,10123049,Xã ??i Thanh,,
50,01,Thành ph? Hà N?i,101,10123,Huy?n Thanh Trì,50,10123050,Xã Nam Phù,,
51,01,Thành ph? Hà N?i,101,10123,Huy?n Thanh Trì,51,10123051,Xã Ng?c H?i,,
52,01,Thành ph? Hà N?i,101,10123,Huy?n Thanh Trì,52,10123052,Ph??ng Thanh Li?t,,
53,01,Thành ph? Hà N?i,101,10143,Huy?n Th??ng Tín,53,10143053,Xã Th??ng Phúc,,
54,01,Thành ph? Hà N?i,101,10143,Huy?n Th??ng Tín,54,10143054,Xã Th??ng Tín,,
55,01,Thành ph? Hà N?i,101,10143,Huy?n Th??ng Tín,55,10143055,Xã Ch??ng D??ng,,
56,01,Thành ph? Hà N?i,101,10143,Huy?n Th??ng Tín,56,10143056,Xã H?ng Vân,,
57,01,Thành ph? Hà N?i,101,10149,Huy?n Phú Xuyên,57,10149057,Xã Phú Xuyên,,
58,01,Thành ph? Hà N?i,101,10149,Huy?n Phú Xuyên,58,10149058,Xã Ph??ng D?c,,
59,01,Thành ph? Hà N?i,101,10149,Huy?n Phú Xuyên,59,10149059,Xã Chuyên M?,,
60,01,Thành ph? Hà N?i,101,10149,Huy?n Phú Xuyên,60,10149060,Xã ??i Xuyên,,
61,01,Thành ph? Hà N?i,101,10141,Huy?n Thanh Oai,61,10141061,Xã Thanh Oai,,
62,01,Thành ph? Hà N?i,101,10141,Huy?n Thanh Oai,62,10141062,Xã Bình Minh,,
